aaab 昌明
rgtjl 民主革命
rgvrf 吐絮
rgvvm 吐丝
rgych 呈递
rgyck 呈交
rgyk 呈文
rgytk 呈送
rhar 口香糖
rhbfm 踢腾
rhbt 口算
rhdee 踢皮球
rhdf 口称
rhed 口条
rhfmu 叨光
rhhwm 吵翻
rhjlm 哈萨克斯坦
rhjr 口舌
rhjuk 哈萨克族
rhkrd 吵架
rhlku 唯物史观
rhlsb 吵闹
rhlsk 吃闭门羹
rhluw 兄弟阋墙
rhmib 响彻云霄
rhmo 只身一人
rhnk 口风
rho 吵人
rhoip 叨念
rhom 口径
rhomr 吻合
rhphu 咬牙切齿
rhqiu 叨扰
rhraq 踢踏舞
rhren 唉声叹气
rhrfh 吵吵
rhrjr 叨咕
rhrmt 踢蹬
rhroi 吩咐
rhrrm 吵骂
rhrsh 叨叨
rhrsn 吻别
rhrts 叨唠
rhrvv 吵吵嚷嚷
rhryb 吵嘴
rhryv 吵嚷
rhuk 口臭
rhygk 唯物主义
riau 嘎巴
riben 口蜜腹剑
ribkf 虽然
riboi 导购
ribon 虽则
ricc 呆会儿(待会儿)
ridhe 导板
riejc 导演
riemf 导源
rieum 叹为观止
rieyd 导游
rieyu 导流
rifjf 导火索
rifvj 导火线
rifw 口福
rigyn 蹲坑
rihbr 导向
rihhk 嗤笑
rihjr 嚼舌
rihjr 导管
rihno 导航员
rihnr 导航台
rihyn 导航
riiri 唱对台戏
riivh 导诊
riivk 导读
riivp 导论
riivr 导语
riivu 虽说
rijdi 蹲守
riki 唯我独尊(惟我独尊)
rikqn 导轨
rillb 导师
rilwu 导电
rimgk 导致
rimlc 别树一帜
rinbi 唱独角戏
rincj 导弹
rind 嘎子
rind 嚼子
rinl 导引
riodm 导体
rioik 蹲伏
ripqe 口传心授
riqif 导热
riqse 导报
rirav 吆喝
rirgs 喷云吐雾
rirhd 吆呼
rirje 嘎吱
rirlu 鸣冤叫屈
rirma 踌躇
rirnk 吆唤
rirnt 嘎噔
rirp 口感
rirtr 哟嗬
rise 导尿
riuu 导出
rivdp 叶公好龙
rivk 口诀
rivk 口误
rivm 口试
rivmj 导线
rivn 口谕
rivq 口译
rivr 口语
riwk 导因
riybh 跳蚤市场
riymr 导言
riyrf 蹲点
rjamd 唾沫星子
rjbie 叶脉
rjbkf 哗然
rjdui 口耳相传
rjemw 啤酒
rjewg 啤酒肚
rjewp 啤酒花
rjhon 践行
rjhrd 口干舌燥
rjivr 践诺
rjkqp 叶轮
rjlll 叶片
rjmwe 叶酸
rjmwl 叶面
rjnd 叶子
rjndw 叶子烟
rjrhn 哔叽
rjrkm 另辟蹊径
rjrma 践踏
rjroj 哗哗
rjrqa 噼啪
rjrqt 哗啦
rjtmh 叶芽
rjvef 叶绿素
rjvmi 践约
rjyam 叶韵
rjyce 哗变
rjyk 口实
rkbjm 哭腔
rkbkf 跃然
rkcom 跃跃欲试
rkeyh 跋涉
rkeyt 哭泣
rkfbu 嗅觉
rkff 喉炎
rkgcv 哭丧
rkgou 唤起
rkgvq 哭丧棒
rkhib 嗷嗷待哺
rkhjr 咬舌
rkhjr 喉舌
rkhjr 喉管
rkhke 民族自决权
rkhld 哭鼻子
rkhom 蹊径
rkhsu 跋扈
rkht 跃升
rkiom 民族资本
rkipo 品头论足
rkivy 哭诉
rkjcs 哭穷
rkjmo 咬定
rkjnd 咬字
rkjtg 哽塞
rkk 号哭(嚎哭)
rklsb 哭闹
rklwl 听天由命
rkmfi 哭笑不得
rkmis 跃动
rkmwm 唤醒
rknvm 跃马
rkobe 吃大锅饭
rkojk 嗾使
rkomr 咬合
rkou 口疮
rkpay 啼笑皆非
rkqju 哭天抹泪
rkqud 呼天抢地
rkrbb 哭哭啼啼
rkrdk 呆头呆脑
rkrgk 嗷嗷
rkrgt 哽噎
rkrid 咬文嚼字
rkrip 喉咙
rkrir 哭喊
rkrmh 哎呀
rkrmh 咿呀
rkrmh 唉呀
rkrmu 蹊跷
rkrvi 哎哟
rkrvl 哭叫
rkrwk 哽咽
rkryb 咬嘴
rksjd 咬耳朵
rksjr 跃居
rktbr 民族共同语
rktkg 民族英雄
rktsl 喉节
rkvbl 吐故纳新
rkvmr 喉结
rkygk 民族主义
rkyis 民族运动
rkyk 喉头
rkyk 跋文
rkyk 唤头
rkykd 口头文学
rkytt 跃进
rlaoo 唯命是从
rlbhu 叩见
rlbhu 听见
rlbhu 鄙见
rlbym 听写
rlc 哪儿
rldhe 叫板
rldtq 哪样
rlef 口紧
rlegi 叫法
rlei 听戏
rlfbu 听觉
rlhbr 听筒
rlhbr 唧筒
rlhqj 叩拜
rlht 蹿升
rlhxh 跻身
rlibp 哪能
rlids 听书
rlifu 鄙视
rligc 叫座儿
rlihr 听诊器
rlivd 听课
rlivh 听诊
rlivi 叩谢
rlivm 听证
rlivr 听话
rlivt 听讲
rlivu 听说
rljll 听审
rljnk 叫卖
rlkn 鄙夷
rlks 听力
rllgv 听装
rllis 叩门
rllis 叫门
rllsj 听闻
rllsr 叩问
rlmmk 听政
rlnlq 叫阵
rlnlv 鄙陋
rlnms 叫驴
rlo 鄙人
rlocr 鄙俗
rlogn 听凭
rlohg 听任
rloic 哪会儿
rlojk 叫做
rlol 哪个
rlolk 听候
rlomi 听会
rlomk 听便
rloml 听命
rloo 听从
rlooo 听众
rloyr 听信
rlpha 哪怕
rlqka 叫春
rlqmn 叩打
rlqu 叩击
rlral 唧唧
rlrhp 哪吒
rlrhv 唧哝
rlrir 叫喊
rlrir 嘶喊
rlrjv 嘟囔
rlrmc 嘶哑
rlrmi 踯躅
rlrmo 蹿跳
rlrms 叫号
rlrna 嘟噜
rlrnk 叫唤
rlron 呻吟
rlrpm 嘶鸣
rlrrm 叫骂
rlrrr 叫嚣
rlrvl 嘶叫
rlryv 叫嚷
rlseo 啸聚
rlsje 听取
rlsuu 叫屈
rltei 鄙薄
rlthu 叩首
rltjr 叫苦
rltpd 叫花子
rltqm 听差
rlvmu 叫绝
rlvnd 叫好
rlwg 哪里
rlyit 鄙弃
rlyk 叩头
rlypm 哪些
rlytp 鄙意
rmbbb 趾骨
rmbfm 喧腾
rmbni 鸣冤
rmdou 鸣枪
rmedj 唾沫
rmeyk 唾液
rmfpu 鸣炮
rmgn 口琴
rmgsj 唱空城计
rmhhk 喧笑
rmhlw 鸣笛
rmhon 骂街
rmivi 鸣谢
rmkhn 骂大街
rmkrd 骂架
rmlsb 喧闹
rmm 唯一(惟一)
rmmfj 鸣不平
rmmk 喧天
rmng 口型
rmnir 骂名
rmoyb 鸣禽
rmqiu 喧扰
rmrbi 咀嚼
rmrdm 喳喳
rmre 嗟叹
rmrhd 呜呼
rmrj 口碑
rmrki 鸣啭
rmrly 吗啡
rmrmp 蹉跎
rmrnn 骂骂咧咧
rmrnp 另当别论
rmroj 喧哗
rmrrd 喧噪
rmrrm 唾骂
rmrrr 喧嚣
rmrvc 吆五喝六
rmrvl 喧叫
rmrvl 鸣叫
rmrwk 呜咽
rmryv 喧嚷
rmth 口形
rmviv 骂娘
rmvvm 鹭鸶
rmwl 趾甲
rmyit 唾弃
rmysk 鸣放
rnaow 唯利是图
rnbg 口角
rnbkk 吃败仗
rnc 吃儿
rnd 口子
rndbu 吃相
rnden 民事权利
rndtq 别样
rne 吃水
rneig 民事法庭
rneve 吃派饭
rnfdv 吃粮
rnffg 吃小灶
rnfsm 叮当
rngah 吭声
rnhae 吃白饭
rnhai 别的
rnhav 吃白食
rnhda 吃香
rnhdf 别称
rnhey 别处
rnhgv 吃皇粮
rnhib 吃得消
rnhit 吃得开
rnhit 吃得来
rnhjg 吃重
rnhqu 别看
rnik 喻义
rnimg 吃准
rnivb 吃请
rnivb 吟诵
rnivi 吟诗
rnivp 别论
rnivr 咒语
rnivr 呓语
rnivu 别说
rniy 口外
rniyi 民事诉讼
rnjch 吃穿
rnjhr 吃客
rnjmo 别家
rnjnd 别字
rnjpm 吃老本
rnjrr 吃官司
rnkis 吃大户
rnkiv 吃独食
rnks 吃力
rnlde 吃闲饭
rnlef 吃紧
rnlsr 叮问
rnmfb 吃不消
rnmfg 吃不住
rnmfg 吃不准
rnmfm 吃不上
rnmfs 吃不透
rnmft 吃不开
rnmft 吃不来
rnmgk 别致
rnmib 吃零嘴
rnmje 吃干饭
rnmmf 喻示
rnmms 吃亏
rnmso 别动队
rnmtb 吟风弄月
rnmtu 鸣锣开道
rnmus 吃现成
rnmwa 吃醋
rnnir 别名
rnnms 吃劲
rnnrd 吃馆子
rnnve 吃饭
rno 别人
rnobe 吃偏饭
rnodm 别体
rnogd 别集
rnoiv 吃食
rnomn 吭气
rnopj 别针
rnopo 吃货
rnoqi 别传
rnovg 吃食堂
rnpqb 别情
rnpyf 吃惊
rnqka 吹灯拔蜡
rnqmf 吃素
rnqng 别扭
rnqog 民事责任
rnraa 吟唱
rnral 哼唧
rnrav 吃喝
rnrc 喇叭
rnrcb 喇叭筒
rnrck 喇嘛教
rnrcp 喇叭花
rnrcq 喇叭裤
rnrcr 喇叭口
rnrff 哆哆嗦嗦
rnrgc 吭哧
rnrgc 哼哧
rnrhi 吟哦
rnrhy 叮咚
rnric 喇嘛
rnrie 吟咏
rnrie 啰唆
rnrii 叽叽嘎嘎
rnrjf 哆嗦
rnrjf 啰嗦
rnrjn 叮咛
rnrjr 叽咕
rnrkb 呼风唤雨
rnrmm 叽叽喳喳
rnrmn 咧咧
rnrms 别号
rnrrm 咒骂
rnrsb 叮嘱
rnrsy 啼饥号寒
rnrvn 吃喝风
rnrvv 吃吃喝喝
rnryk 叮咬
rnryn 哼哼
rntbq 吃荤
rntc 别业
rntjr 吃苦
rntrk 吃苦头
rntsd 吃劳保
rnvma 别绪
rnwmi 吃鸭蛋
rnwng 别墅
rnwrr 吃回扣
rnyhs 吃透
rnykl 吃斋
rnyub 别离
roalt 呼之即来
rob 足月
robgl 跳脚
robhu 足见
roc 足金
rocou 呼之欲出
rodfv 跳楼
rodhe 跳板
rodm 足本
rodou 喷枪
rodpm 啄木鸟
rodta 跳槽
rodtc 跳棋
rodvl 跳楼价
roe 跳水
roebj 喷溅
roede 喷漆
roeed 喷水池
roeid 跳梁
roeie 蹼泳
roeii 跳蚤
roemw 喷洒
roenb 喷涌
roeod 喷涂
roetg 喷灌
rofmn 吹灯
rofmn 喷灯
rogbc 喷壶
rogeq 吹鼓手
roglc 足赤
rogmi 足坛
rohae 喷泉
rohda 喷香
rohfo 啧啧称羡
rohhi 喷射
rohir 喷射器
rohjr 喷管
rohni 吹风会
rohnk 吹风
rohnn 吹风机
rohpl 足印
rohq 吹牛
rohqe 吹牛皮
rohsd 跳房子
roifl 跳神
roii 口令
roiin 吹冷风
roir 跳台
roive 喷发
rojmr 跌宕
rojro 足额
rojro 员额
rolbw 跌幅
rolsl 跳闸
rom 员工
romge 足球
romis 跳动
romn 口气
romsr 喷雾器
romy 足下
rongd 呱呱坠地
ronve 喷饭
ronvm 跳马
roofj 跳伞
roogo 听之任之
rooiv 啄食
roomn 喷气
roonm 喷气式
rooog 跌坐
roool 跌价
rootq 跳舞
roply 口是心非
roprn 足够
ropv 口袋
roqgg 跌跌撞撞
roqha 吹拍
roqi 口传
roqis 跌势
roqkk 吹奏
roqln 吹拂
roqni 跌打丸
roqnn 吹吹打打
roqqq 吹捧
ror 喷口
roral 呱唧
rordo 咳嗽
rorg 喷吐
rorho 呱呱
rorjo 嚏喷
rorjo 喷嚏
rormk 跌跤
rormk 跳跃
rormv 足跟
rornc 吹喇叭
rorob 唢呐
rorol 呱呱叫
rortr 呱嗒
roryb 喷嘴
roryc 吹嘘
roryo 足足
roryo 跌足
rosep 哗众取宠
rotc 口供
roteh 跳荡
rotei 喷薄
roter 跌落
rotrd 呱呱落地
roumg 跳崖
rovio 足以
rovme 跳级
rovmu 跳绳
rovol 嗤之以鼻
rowgg 喷墨
royk 噱头
royk 喷头
roymu 跳远
royr 口信
royrb 跳高
royyc 足迹
rpboj 民贼
rpbq 民用
rpde 民权
rpdk 口快
rpdyk 民校
rpegi 民法
rpenm 民意测验
rpest 呕心沥血
rpfdj 呢料
rphni 叱咤风云
rphnk 民风
rphqm 民生
rphss 民房
rphvd 民乐
rphyn 民航
rpivh 民谚
rpivu 民谣
rpjhp 民宅
rpjln 民事
rpjmo 民家
rpks 民力
rpksc 民办
rplku 唯心史观
rplsa 民间
rplsr 叱问
rpm 民工
rpmmk 民政
rpmro 民歌
rpnd 呢子
rpnup 民怨
rpocr 民俗
rpoii 叱令
rpoiy 吊民伐罪
rpomc 民兵
rpomn 民气
rpooo 民众
rpora 民智
rpp 民心
rpp 唯恐(惟恐)
rppjo 民愤
rppqb 民情
rpqak 鄂伦春族
rpqmo 叱责
rpqo 民夫
rprjb 呢喃
rprjp 叱咤
rprrm 叱骂
rprrr 民品
rpsjr 民居
rptbr 民营
rptkr 民警
rpuib 蹉跎岁月
rpvmi 民约
rpvmj 呢绒
rpwdh 民团
rpwmi 民国
rpybg 民望
rpyce 民变
rpyg 民主
rpygk 唯心主义
rpyhu 民选
rpymi 民运
rpysk 民族
rpytp 民意
rqbe 口授
rqje 口技
rqmri 唾手可得
rqrel 蹑手蹑脚
rqyyv 吃拿卡要
rraoo 品题
rraqb 响晴
rraur 哈巴狗
rrbc 口哨儿
rrbe 口蹄疫
rrbgl 踮脚
rrbhu 品貌
rrbkk 路网
rrbmc 器具
rrbmv 哈腰
rrbni 喊冤
rrbpr 口若悬河
rrbq 器用
rrbsv 呐喊助威
rrbt 器皿
rrbu 品目
rrddh 器材
rrdem 呆若木鸡
rrdhe 响板
rrdhr 品格
rrdit 器械
rrdmf 路标
rremw 品酒
rreri 呼和浩特
rrfbi 品尝
rrfbo 品赏
rrfdk 品类
rrfmm 响当当
rrfmn 路灯
rrfqu 跆拳道
rrfvk 路数
rrgah 响声
rrgao 路堤
rrghh 口口声声
rrhbt 咯血
rrhdg 路程
rrhdl 品种
rrhed 路条
rrhhk 嘻笑
rrhje 路段
rrhjg 器重
rrhjo 品质
rrhmr 嗣后
rrhmy 呵斥
rrhnh 品第
rrhnk 路风
rrhoh 响彻
rrhom 路径
rrhom 器质性
rrhon 品行
rrhop 品德
rrhqh 器物
rrhtn 响箭
rrhul 响鼻
rrhvd 器乐
rrhvf 品系
rrifm 响应
rrimu 路况
rrivj 品评
rrivr 喊话
rrjd 口味
rrjks 路考
rrjrr 器官
rrjuo 哈密瓜
rrjyj 噤若寒蝉
rrkbf 喀布尔
rrkd 喊杀
rrkqn 路轨
rrllj 品牌
rrllj 路牌
rrllr 只言片语
rrlmv 叶落归根
rrlno 路费
rrlsb 嘻闹
rrlwu 唁电
rrmbb 路霸
rrmbw 响雷
rrmfo 叫苦不迭
rrmis 吃苦耐劳
rrmis 响动
rrmmi 哼哈二将
rrmmk 路政
rrms 口号
rrmur 哑口无言
rrmwl 路面
rrmwm 喊醒
rrnd 嗣子
rrnd 路子
rrnfc 哈尔滨
rrnir 品名
rrnlj 路障
rrnlm 咕隆
rrno 呵欠
rrno 哈欠
rrnpo 嚣张
rro 路人
rrohq 器件
rromn 哈气
rron 口吃
rropn 响锣
rroyt 品位
rroyt 嗣位
rrph 口吻
rrphm 品性
rrqis 呵护
rrqmo 呵责
rrqou 路规
rrr 路口
rrrdn 哈喇
rrrhn 咕叽
rrrhr 咯咯
rrrhv 咕哝
rrrhy 咕咚
rrrjd 品味
rrrje 咯吱
rrrjl 咕嘟
rrrly 咖啡
rrrmg 咖喱
rrrmh 啊呀
rrrmi 踟蹰
rrrna 咕噜
rrrnd 哈喇子
rrrnt 咯噔
rrror 哈哈
rrrp 呵叱
rrrrr 嘻嘻哈哈
rrrrr 响器
rrrrs 喊口号
rrrru 哈哈镜
rrrvi 啊哟
rrrvl 喊叫
rrryn 咖啡厅
rrryr 咖啡馆
rrryt 咖啡豆
rrryu 咖啡色
rrryw 咖啡因
rrspk 哈尼族
rrsrn 吕剧
rrsup 响尾蛇
rrtcg 路基
rrtjk 响鞭
rrtkr 路警
rrtli 喀斯特
rrtnr 品茗
rrtod 品茶
rrune 唁函
rrvme 品级
rrvmj 路线
rrvmm 品红
rrydi 路过
rryk 哈达
rrym 路上
rrymy 路卡
rryod 路途
rryqk 叫苦连天
rryru 响亮
rrywb 路遇
rsbbm 另册
rsbie 号脉
rsbwi 勋爵
rsdtm 跨栏
rsfdk 另类
rsfvk 号数
rsgov 跨越
rshbr 号筒
rshbt 呕血
rshdf 号称
rshjr 咋舌
rshjr 咂舌
rshnc 跨行业
rshon 另行
rsite 跨度
rsjvd 另案
rsksc 咋办
rsllj 号牌
rsmrm 号码
rsnbg 号角
rsnd 号子
rsniy 另外
rsniy 号外
rsnuc 跨院儿
rsoii 号令
rsoin 距今
rsomc 号兵
rsoqe 跨年度
rsq 号手
rsrg 呕吐
rsrhd 咋呼
rsril 哐啷
rsrms 呖呖
rsrsh 唠叨
rsrvl 号叫
rsryb 咂嘴
rsshr 号召
rstbs 勋劳
rstc 勋业
rswmi 跨国
rsyk 号头
rsytj 勋章
rsyub 距离
rtbyv 蹬腿
rthmw 别开生面
rtiov 嗟来之食
rtir 口蘑
rtjuk 鄂温克族
rtnja 吹拉弹唱
rtrei 踱来踱去
rtrne 吃开口饭
ruadi 巳时
ruajr 跑旱船
ruaoo 跑题
rubg 跑肚
rubvc 跑腿儿
rucig 吨公里
rucjb 跑单帮
rucnh 兄弟
ruebb 跑冒滴漏
ruehe 跋山涉水
ruemb 跑江湖
rufgc 跑堂儿
rufmu 跑光
rufsg 另起炉灶
rufsm 咣当
rugah 吼声
ruhe 跑反
ruhmp 跑生意
ruhon 跑街
ruhqj 跪拜
ruiep 吹毛求疵
ruipi 跑龙套
ruir 吧台
ruise 吃现成饭
ruivb 跑调
rujmo 咱家
rujoo 跑跑颠颠
rukgr 口出狂言
rukq 跑车
rulwu 跑电
rumis 跑动
rumj 口岸
rummk 跑码头
rummk 别无二致
runiy 跑外
runkk 跑买卖
runvm 跑马
ruo 唬人
ruols 咱们
ruomb 咱俩
ruoyt 吨位
rupgn 咄咄怪事
rupjv 别出心裁
rupo 兄长
rupoh 别无长物
rural 吧唧
rurjd 咆哮
rurmv 跄踉
rurne 吮吸
rursb 吮咂
rurtr 吧嗒
rurue 跷跷板
rurvl 吼叫
rutjg 跑鞋
ruu 号啕(嚎啕)
ruv 吧女
ruvhe 兄嫂
ruvjd 兄妹
ruwoh 跑圆场
ruylh 跑步
ruytu 跑道
ruywo 咄咄逼人
rvbdh 喝彩
rvbgl 跟脚
rvduu 另眼相看
rvhni 响遏行云
rvhnk 跟风
rvhui 另眼看待
rvlsr 喝问
rvmgc 跟班儿
rvmgg 跟班
rvmm 口红
rvmwj 喝醉
rvnlb 跟随
rvoii 喝令
rvoiv 喂食
rvonh 喝倒彩
rvoo 跟从
rvrbv 嘤嘤
rvrhv 哝哝
rvrmf 跟踪
rvrmu 踉跄
rvrvl 嚷叫
rvrwn 喽啰
rvryv 嚷嚷
rvspi 跟屁虫
rvtbn 跟前
rvtns 吃眼前亏
rvtol 喂养
rvtqu 跟着
rvvns 喂奶
rvyj 跟斗
rvyk 跟头
rvytt 跟进
rwcir 跨国公司
rwff 咽炎
rwhhk 哂笑
rwlj 口罩
rwlpn 喝西北风
rwomn 咽气
rwqmm 哈雷彗星
rwrkf 咽喉炎
rwrok 咽喉
ryic 口述
ryk 口头
rykj 口头禅
rykr 口头语
rylre 嘘寒问暖
rymfu 吃罪不起
rymu 口齿
ryo 吓人
ryrjf 咔嚓
ryrmh 嗨呀
ryrtr 咔嗒
ryrvi 嗨哟
ryryu 吓唬
ryta 口音
sagis 屠城
sais 屠户
sajjh 屠宰场
sajyj 屠宰
sakd 屠杀
samrk 屈指可数
saonk 颐指气使
saqo 屠夫
sash 屠刀
sashi 屠戮
sbbb 尸骨
sbbdi 臂肘
sbbo 尸骸
sbbud 耳濡目染
sbbys 臂膀
sbdbu 属相
sbedb 戳脊梁骨
sbfk 臀尖
sbgpd 属地
sbjro 匾额
sbjyk 属实
sbks 臂力
sblay 居高临下
sbmd 属于
sbmfy 居高不下
sbmlu 异端邪说
sbmy 属下
sboik 联席会议
sboil 聚精会神
sbopo 取而代之
sbphm 属性
sbqkp 改朝换代
sbrbo 属员
sbsqs 群策群力
sbwmi 属国
sbwqs 臀围
sbycn 臂弯
sbytj 臂章
sbytp 属意
scde 职权
scdyk 职校
scfbq 职掌
schdf 职称
sches 职务
schlb 尽其所有
schon 职衔
schqu 鬓毛
schrk 匹敌
scibp 职能
scive 鬓发
scjdi 职守
scjdk 职教
sck 职大
sckfd 职业大学
scm 职工
scmlr 耳鬓厮磨
scmwu 匹配
scnbg 鬓角
scopi 职代会
scoyt 职位
scqmo 职责
scqo 匹夫
scrbo 职员
scsmr 职司
scso 咫尺
sctc 职业
sctcb 职业病
sctcp 职业化
sctcv 职业装
scybl 职业高中
scybn 尸横遍野
scyrb 职高
sdbvc 耳朵眼儿
sdgnl 屎壳郎
sdjco 君子协定
sdnmm 孱弱
sdokl 取保候审
sdom 尸检
sdsib 异乎寻常
seabe 取暖
seaer 取暖器
seafr 取景器
seayf 取景
sebhm 取胜
sebkq 殿军
secst 尿盆
seddh 取材
sedom 尿检
sedtq 取样
seefb 取消
seegi 取法
seepu 尿泡
seeyk 尿液
sef 取火
sefbg 殿堂
segbc 尿壶
sehbr 取向
sehbt 尿血
sehbu 取自
sehhk 取笑
sehmr 殿后
sehof 尿失禁
sehoi 取得
sehon 履行
sehvd 取乐
seid 尿床
seimk 取决
seivm 取证
seivm 殿试
sejmd 殿宇
seklb 尿布
seklv 劈波斩浪
selsb 取闹
semff 忍俊不禁
semks 履历
semms 取巧
semsv 履历表
semwe 尿酸
semy 殿下
senir 取名
senmp 尿急
seoip 取代
seomr 取舍
seord 取保
seoyr 取信
sepcu 取悦
seqmf 尿素
seqmn 殴打
seqym 尿毒症
sese 尿尿
setjb 履带
sevmb 取缔
sevmi 履约
sevmm 取经
seydl 履新
seyho 尿频
seyj 殴斗
seykl 取齐
seytu 尿道
seytu 取道
sfdhn 灵机
sfdso 灵柩
sfehf 熨烫
sfehr 灵活
sffbg 灵堂
sffmu 灵光
sfgtr 灵塔
sfhds 灵秀
sfhqu 鬃毛
sfid 灵床
sfipq 耳熟能详
sfir 灵台
sfirp 灵感
sfjbm 耿直
sfkq 灵车
sflbr 熨帖
sfllj 灵牌
sfmdf 耿耿于怀
sfmfm 屡禁不止
sfmfu 屡禁不绝
sfmii 灵魂
sfmis 灵动
sfmms 灵巧
sfnmm 灵验
sfoke 灵敏度
sfoll 耿介
sfomk 灵便
sfomn 灵气
sfoyk 灵敏
sfoyt 灵位
sfphm 灵性
sfpou 灵长目
sfqjp 灵慧
sfqvv 熙熙攘攘
sfseq 灵犀
sfsjf 耿耿
sfsut 灵异
sftio 灵芝
sftoj 灵芝草
sftvi 灵药
sfyj 熨斗
sfynb 灵通
sgddh 壁垒森严
sgdmi 壁橱
sgdnr 屋檐
sgdss 壁柜
sgeyl 匡济
sgfcb 屋脊
sgfis 壁炉
sgfmn 壁灯
sghbt 匡算
sghuf 壁毯
sgiig 壁垒
sgjmd 屋宇
sgkrd 屋架
sgmno 屋顶
sgmuw 壁画
sgmym 匡正
sgnd 屋子
sgnvb 壁饰
sgopl 壁钟
sgorp 壁龛
sgqgg 壁挂
sgqgm 壁挂式
sgqqo 匡扶
sgqse 壁报
sgtcg 屋基
sgvmp 壁纸
sgymu 壁上观
sgypu 壁虎
sgyt 壁立
sgytu 君主立宪
shbmc 刀具
shclq 刀斧手
shdou 刀枪
shegi 刀法
shei 刀叉
shei 劈叉
shfnw 刀削面
shhhu 刀笔
shisr 聚沙成塔
shkd 劈杀
shkrd 刀架
shlll 刀片
shlpb 刀背
shmrt 刀豆
shmwl 劈面
shnd 刀子
shndb 刀子嘴
shnmm 刀马旦
shomc 刀兵
shoos 刀伤
shopj 刀锋
shq 劈手
shquc 刀把儿
shqud 刀把子
shr 刀口
shshi 刀刃
shu 刀山
shu 劈山
shxh 尸身
shyk 劈头
shypd 劈柴
siahk 改弦易辙
sibbu 寻觅
sibhu 寻见
sic 戳儿
sidav 寻根
sidd 层林
sidhn 寻机
sieem 层叠
sieno 寻欢
sifbb 寻常
sigah 寻声
sihtq 寻衅
sihul 改过自新
sihuq 群魔乱舞
siije 寻求
siivs 寻访
siivu 戳记
sijch 戳穿
sijln 寻事
sijrr 尉官
siks 戮力
silsr 寻问
simko 改弦更张
simmo 层次
simnp 寻死
simtp 寻开心
simwl 层面
sind 戳子
sinlf 寻隙
sinog 忍辱负重
siotu 寻短见
siqi 寻找
siqtk 寻摸
sir 刃口
sirdn 寻呼机
sirdr 寻呼台
sirhd 寻呼
sirhl 聆听
sirjd 寻味
sirmf 寻踪
sisvk 屡战屡败
sisvm 屡战屡胜
sitkk 寻获
sivhi 聚讼纷纭
sivme 层级
siwp 寻思
siyfc 那么点儿
siytd 寻亲
sjbtk 耳膜
sjbu 耳目
sjbua 耳闻目睹
sjdav 耳根
sjdha 翠柏
sjdhn 耳机
sjfk 耳尖
sjfmu 耳光
sjghr 耳垢
sjgte 耳鼓
sjh 翠竹
sjhjm 耳垂
sjhnd 耳朵
sjhnd 耳刮子
sjhok 翠微
sjhqm 耳生
sjhss 耳房
sjifw 耳福
sjivr 耳语
sjivu 辟谣
sjiyl 耳廓
sjjtg 耳塞
sjkqp 耳轮
sjllo 耳顺
sjlpb 耳背
sjlsj 耳闻
sjmgf 耳环
sjmgi 翠玉
sjmtk 改革开放
sjnd 耳子
sjndu 耳孔
sjngd 耳坠子
sjnlf 耳际
sjnog 耳坠
sjnvb 耳饰
sjopj 耳针
sjpym 翠鸟
sjqbr 寻章摘句
sjqel 耳报神
sjqif 耳热
sjrpm 耳鸣
sjsfd 耳屎
sjtlt 翠蓝
sjvme 翠绿
sjyif 耳熟
sjysn 耳旁风
sjysn 耳边风
sjyta 耳音
ska 改日
skabt 联盟
skaph 改易
skbkk 联网
skbq 改用
skbvm 尽收眼底
skbym 改写
skcsh 区分
skdhn 联机
skdom 联检
skdtq 改样
skdup 联想
skebu 改观
skeir 医治
skeno 联欢
skeoi 联欢会
skfbd 医学
skfqn 改判
skg 医士
skgim 区域
skhbm 联翩
skhbn 改制
skhbr 改向
skhdb 改稿
skhdf 改称
skhdj 医科
skhes 医务
skhfo 联系人
skhok 区徽
skhon 改行
skhop 医德
skhqm 医生
skhsg 医务室
skhvf 联系
skiav 改良
skid 医术
skids 医书
skiki 改为
skiln 区划
skimi 联谊会
skitb 联席
skivb 改调
skivm 联谊
skivn 改订
skjcr 改容
skjto 联赛
skjvd 医案
skknn 医疗
skkno 医疗队
skkqk 改辙
skldk 联袂
sklgv 改装
skllb 医师
sklle 改版
sklsa 区间
sklsg 改换门庭
skmfj 尾大不掉
skmfk 屡教不改
skmgg 医理
skmis 改动
skmk 改天
skmki 区政府
skmng 改型
skmym 改正
sknau 改色
sknir 改名
sknir 联名
sknkq 改建
sknlo 联队
sknls 联防
sknlu 医院
skodm 联体
skohg 改任
skomr 联合
skopa 改错
skopb 联销
skopg 改锥
skoq 改年
skord 联保
skorm 联合体
skorw 联合国
skoyt 区位
skpoy 改悔
skq 联手
skqch 改扮
skqhw 联播
skqis 医护
skqjl 联邦
skqkd 改天换地
skqkk 联奏
skqkw 改头换面
skqnk 改换
skr 改口
skraa 联唱
skrsb 医嘱
skrsn 区别
skryb 改嘴
sksk 区区
skstv 联展
sktbr 联营
sktc 改业
sktcb 改期
sktgr 改善
sktlj 改革
skttm 劈头盖脸
sktvi 医药
skvhm 改姓
skvjo 改嫁
skvmb 改编
skvmj 改线
skvmm 改组
skvmr 联结
skvmr 联络
skvro 联络员
skvwk 联姻
skwla 联署
skyce 改变
skydi 改过
skyhr 改造
skyhs 医方
